start_time,end_time,tweet_Count
2022-08-24T00:00:00.000Z,2022-08-25T00:00:00.000Z,14586
2022-08-25T00:00:00.000Z,2022-08-26T00:00:00.000Z,15541
2022-08-26T00:00:00.000Z,2022-08-27T00:00:00.000Z,11568
2022-08-27T00:00:00.000Z,2022-08-28T00:00:00.000Z,9327
2022-08-28T00:00:00.000Z,2022-08-29T00:00:00.000Z,8707
2022-08-29T00:00:00.000Z,2022-08-30T00:00:00.000Z,9009
2022-08-30T00:00:00.000Z,2022-08-31T00:00:00.000Z,8998
2022-06-30T00:00:00.000Z,2022-07-01T00:00:00.000Z,11044
2022-07-01T00:00:00.000Z,2022-07-02T00:00:00.000Z,10191
2022-07-02T00:00:00.000Z,2022-07-03T00:00:00.000Z,9182
2022-07-03T00:00:00.000Z,2022-07-04T00:00:00.000Z,9582
2022-07-04T00:00:00.000Z,2022-07-05T00:00:00.000Z,10352
2022-07-05T00:00:00.000Z,2022-07-06T00:00:00.000Z,12866
2022-07-06T00:00:00.000Z,2022-07-07T00:00:00.000Z,16510
2022-07-07T00:00:00.000Z,2022-07-08T00:00:00.000Z,21885
2022-07-08T00:00:00.000Z,2022-07-09T00:00:00.000Z,31373
2022-07-09T00:00:00.000Z,2022-07-10T00:00:00.000Z,30751
2022-07-10T00:00:00.000Z,2022-07-11T00:00:00.000Z,29411
2022-07-11T00:00:00.000Z,2022-07-12T00:00:00.000Z,24443
2022-07-12T00:00:00.000Z,2022-07-13T00:00:00.000Z,18649
2022-07-13T00:00:00.000Z,2022-07-14T00:00:00.000Z,15857
2022-07-14T00:00:00.000Z,2022-07-15T00:00:00.000Z,15482
2022-07-15T00:00:00.000Z,2022-07-16T00:00:00.000Z,11523
2022-07-16T00:00:00.000Z,2022-07-17T00:00:00.000Z,13139
2022-07-17T00:00:00.000Z,2022-07-18T00:00:00.000Z,13866
2022-07-18T00:00:00.000Z,2022-07-19T00:00:00.000Z,14592
2022-07-19T00:00:00.000Z,2022-07-20T00:00:00.000Z,15694
2022-07-20T00:00:00.000Z,2022-07-21T00:00:00.000Z,14845
2022-07-21T00:00:00.000Z,2022-07-22T00:00:00.000Z,14247
2022-07-22T00:00:00.000Z,2022-07-23T00:00:00.000Z,17746
2022-07-23T00:00:00.000Z,2022-07-24T00:00:00.000Z,19599
2022-07-24T00:00:00.000Z,2022-07-25T00:00:00.000Z,67246
2022-07-25T00:00:00.000Z,2022-07-26T00:00:00.000Z,23617
2022-07-26T00:00:00.000Z,2022-07-27T00:00:00.000Z,21025
2022-07-27T00:00:00.000Z,2022-07-28T00:00:00.000Z,19313
2022-07-28T00:00:00.000Z,2022-07-29T00:00:00.000Z,17437
2022-07-29T00:00:00.000Z,2022-07-30T00:00:00.000Z,22046
2022-07-30T00:00:00.000Z,2022-07-31T00:00:00.000Z,13223
2022-05-30T00:00:00.000Z,2022-05-31T00:00:00.000Z,11749
2022-05-31T00:00:00.000Z,2022-06-01T00:00:00.000Z,10347
2022-06-01T00:00:00.000Z,2022-06-02T00:00:00.000Z,8595
2022-06-02T00:00:00.000Z,2022-06-03T00:00:00.000Z,13431
2022-06-03T00:00:00.000Z,2022-06-04T00:00:00.000Z,14804
2022-06-04T00:00:00.000Z,2022-06-05T00:00:00.000Z,12449
2022-06-05T00:00:00.000Z,2022-06-06T00:00:00.000Z,11223
2022-06-06T00:00:00.000Z,2022-06-07T00:00:00.000Z,8701
2022-06-07T00:00:00.000Z,2022-06-08T00:00:00.000Z,7943
2022-06-08T00:00:00.000Z,2022-06-09T00:00:00.000Z,12742
2022-06-09T00:00:00.000Z,2022-06-10T00:00:00.000Z,12140
2022-06-10T00:00:00.000Z,2022-06-11T00:00:00.000Z,10191
2022-06-11T00:00:00.000Z,2022-06-12T00:00:00.000Z,11715
2022-06-12T00:00:00.000Z,2022-06-13T00:00:00.000Z,8902
2022-06-13T00:00:00.000Z,2022-06-14T00:00:00.000Z,9219
2022-06-14T00:00:00.000Z,2022-06-15T00:00:00.000Z,19099
2022-06-15T00:00:00.000Z,2022-06-16T00:00:00.000Z,13110
2022-06-16T00:00:00.000Z,2022-06-17T00:00:00.000Z,10758
2022-06-17T00:00:00.000Z,2022-06-18T00:00:00.000Z,8255
2022-06-18T00:00:00.000Z,2022-06-19T00:00:00.000Z,11125
2022-06-19T00:00:00.000Z,2022-06-20T00:00:00.000Z,9364
2022-06-20T00:00:00.000Z,2022-06-21T00:00:00.000Z,8472
2022-06-21T00:00:00.000Z,2022-06-22T00:00:00.000Z,10021
2022-06-22T00:00:00.000Z,2022-06-23T00:00:00.000Z,11756
2022-06-23T00:00:00.000Z,2022-06-24T00:00:00.000Z,13753
2022-06-24T00:00:00.000Z,2022-06-25T00:00:00.000Z,13672
2022-06-25T00:00:00.000Z,2022-06-26T00:00:00.000Z,11636
2022-06-26T00:00:00.000Z,2022-06-27T00:00:00.000Z,13084
2022-06-27T00:00:00.000Z,2022-06-28T00:00:00.000Z,11077
2022-06-28T00:00:00.000Z,2022-06-29T00:00:00.000Z,9748
2022-06-29T00:00:00.000Z,2022-06-30T00:00:00.000Z,9186
2022-04-29T00:00:00.000Z,2022-04-30T00:00:00.000Z,17911
2022-04-30T00:00:00.000Z,2022-05-01T00:00:00.000Z,12281
2022-05-01T00:00:00.000Z,2022-05-02T00:00:00.000Z,13152
2022-05-02T00:00:00.000Z,2022-05-03T00:00:00.000Z,14478
2022-05-03T00:00:00.000Z,2022-05-04T00:00:00.000Z,20329
2022-05-04T00:00:00.000Z,2022-05-05T00:00:00.000Z,19400
2022-05-05T00:00:00.000Z,2022-05-06T00:00:00.000Z,28345
2022-05-06T00:00:00.000Z,2022-05-07T00:00:00.000Z,50927
2022-05-07T00:00:00.000Z,2022-05-08T00:00:00.000Z,47817
2022-05-08T00:00:00.000Z,2022-05-09T00:00:00.000Z,52435
2022-05-09T00:00:00.000Z,2022-05-10T00:00:00.000Z,40493
2022-05-10T00:00:00.000Z,2022-05-11T00:00:00.000Z,22733
2022-05-11T00:00:00.000Z,2022-05-12T00:00:00.000Z,20831
2022-05-12T00:00:00.000Z,2022-05-13T00:00:00.000Z,18748
2022-05-13T00:00:00.000Z,2022-05-14T00:00:00.000Z,13391
2022-05-14T00:00:00.000Z,2022-05-15T00:00:00.000Z,14857
2022-05-15T00:00:00.000Z,2022-05-16T00:00:00.000Z,16060
2022-05-16T00:00:00.000Z,2022-05-17T00:00:00.000Z,15255
2022-05-17T00:00:00.000Z,2022-05-18T00:00:00.000Z,14944
2022-05-18T00:00:00.000Z,2022-05-19T00:00:00.000Z,15475
2022-05-19T00:00:00.000Z,2022-05-20T00:00:00.000Z,14712
2022-05-20T00:00:00.000Z,2022-05-21T00:00:00.000Z,13778
2022-05-21T00:00:00.000Z,2022-05-22T00:00:00.000Z,10494
2022-05-22T00:00:00.000Z,2022-05-23T00:00:00.000Z,12012
2022-05-23T00:00:00.000Z,2022-05-24T00:00:00.000Z,16497
2022-05-24T00:00:00.000Z,2022-05-25T00:00:00.000Z,22872
2022-05-25T00:00:00.000Z,2022-05-26T00:00:00.000Z,12444
2022-05-26T00:00:00.000Z,2022-05-27T00:00:00.000Z,12277
2022-05-27T00:00:00.000Z,2022-05-28T00:00:00.000Z,15914
2022-05-28T00:00:00.000Z,2022-05-29T00:00:00.000Z,14086
2022-05-29T00:00:00.000Z,2022-05-30T00:00:00.000Z,10675
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,10353
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,11109
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,18226
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,18711
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,16285
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,16428
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,15276
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,15205
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,15367
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,12272
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,10499
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,10361
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,11302
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,13896
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,11494
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,8984
2022-04-14T00:00:00.000Z,2022-04-15T00:00:00.000Z,12427
2022-04-15T00:00:00.000Z,2022-04-16T00:00:00.000Z,12012
2022-04-16T00:00:00.000Z,2022-04-17T00:00:00.000Z,10809
2022-04-17T00:00:00.000Z,2022-04-18T00:00:00.000Z,9666
2022-04-18T00:00:00.000Z,2022-04-19T00:00:00.000Z,25276
2022-04-19T00:00:00.000Z,2022-04-20T00:00:00.000Z,25606
2022-04-20T00:00:00.000Z,2022-04-21T00:00:00.000Z,16857
2022-04-21T00:00:00.000Z,2022-04-22T00:00:00.000Z,13600
2022-04-22T00:00:00.000Z,2022-04-23T00:00:00.000Z,12891
2022-04-23T00:00:00.000Z,2022-04-24T00:00:00.000Z,13089
2022-04-24T00:00:00.000Z,2022-04-25T00:00:00.000Z,13783
2022-04-25T00:00:00.000Z,2022-04-26T00:00:00.000Z,15594
2022-04-26T00:00:00.000Z,2022-04-27T00:00:00.000Z,25221
2022-04-27T00:00:00.000Z,2022-04-28T00:00:00.000Z,21219
2022-04-28T00:00:00.000Z,2022-04-29T00:00:00.000Z,15096
2022-02-26T00:00:00.000Z,2022-02-27T00:00:00.000Z,10921
2022-02-27T00:00:00.000Z,2022-02-28T00:00:00.000Z,10432
2022-02-28T00:00:00.000Z,2022-03-01T00:00:00.000Z,20304
2022-03-01T00:00:00.000Z,2022-03-02T00:00:00.000Z,18800
2022-03-02T00:00:00.000Z,2022-03-03T00:00:00.000Z,20445
2022-03-03T00:00:00.000Z,2022-03-04T00:00:00.000Z,21930
2022-03-04T00:00:00.000Z,2022-03-05T00:00:00.000Z,49475
2022-03-05T00:00:00.000Z,2022-03-06T00:00:00.000Z,52607
2022-03-06T00:00:00.000Z,2022-03-07T00:00:00.000Z,54139
